        Email,Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Total Purchases,Discounts,Customer_id,Date,Tier_Membership,Time Revisited,Demographics,Location,Feedback/Ratings,Category_Liked,Gender
mstephenson@fernandez.com,"835 Frank TunnelWrightmouth, MI 82180-9605",Violet,12.66,39.58,4.08,587.95,542.87,10.23,1312378,2021-08-15,Regular,12,32,Mumbai,4.8,Multiplayer Horror,Male
hduke@hotmail.com,"4547 Archer CommonDiazchester, CA 06566-8576",DarkGreen,11.11,37.27,2.66,392.2,328.56,5.75,2318467,2021-05-23,Medium,35,24,Chennai,3.9,Mystery & Detective,Female
pallen@yahoo.com,"24645 Valerie Unions Suite 582Cobbborough, DC 99414-7564",Bisque,11.33,37.11,4.1,487.55,219.44,15.89,3498756,2021-10-07,Regular,8,18,Pune,4.5,Open World,Male
riverarebecca@gmail.com,"1414 David ThroughwayPort Jason, OH 22070-1220",SaddleBrown,13.72,36.72,3.12,581.85,689.12,8.12,4823691,2023-03-19,Medium,21,40,Delhi,4.2,Sci-Fi & Cyberpunk,Female
mstephens@davidson-herman.com,"14023 Rodriguez PassagePort Jacobville, PR 37242-1057",MediumAquaMarine,12.8,37.54,4.45,599.41,475.66,12.45,5951832,2022-09-30,Regular,49,31,Kalyan,4.6,Space,Male
alvareznancy@lucas.biz,"645 Martha Park Apt. 611Jeffreychester, MN 67218-7250",FloralWhite,12.03,34.48,5.49,637.1,112.3,6.78,6439285,2022-02-14,Regular,4,22,Mumbai,3.7,Survival,Male
katherine20@yahoo.com,"68388 Reyes Lights Suite 692Josephbury, WV 92213-0247",DarkSlateBlue,11.37,36.68,4.69,521.57,925.88,9.34,7185246,2023-07-08,Free Trial,16,19,Pune,4.9,Free to Play,Female
awatkins@yahoo.com,Unit 6538 Box 8980DPO AP 09026-4941,Aqua,12.35,37.37,4.43,549.9,648.21,13.56,8146321,2022-07-01,Medium,42,28,Chennai,3.5,Battle Royale,Male
vchurch@walter-martinez.com,"860 Lee KeyWest Debra, SD 97450-0495",Salmon,13.39,37.53,3.27,570.2,387.79,7.89,9467135,2021-12-10,Regular,30,37,Delhi,4.4,Building & Automation,Female
bonnie69@lin.biz,"PSC 2734, Box 5255APO AA 98456-7482",Brown,11.81,37.15,3.2,427.2,572.13,11.23,1056834,2023-05-28,Free Trial,2,23,Mumbai,4.7,Third-Person Shooter,Female
